ts_iso,text
2026-02-23T16:15:49.532,"{""ok"":""device updated"",""time"":0,""auto"":true,""period"":50}"
2026-02-23T16:15:49.636,"{""sensor"":{""time"":0,""status"":true,""accel"":[0.11,0.16,-8.13],""gyro"":[0.00,0.00,0.00],""ypr"":[-179.07,0.81,-26.80],""mag"":[0.36,0.19,0.06]}}"
2026-02-23T16:15:49.689,"{""sensor"":{""time"":0,""status"":true,""accel"":[0.13,0.15,-8.13],""gyro"":[0.00,0.00,0.00],""ypr"":[-179.07,0.80,-26.91],""mag"":[0.36,0.17,0.02]}}"
2026-02-23T16:15:49.742,"{""sensor"":{""time"":0,""status"":true,""accel"":[0.13,0.14,-8.12],""gyro"":[0.00,0.00,0.00],""ypr"":[-179.05,0.80,-26.83],""mag"":[0.36,0.17,0.02]}}"
2026-02-23T16:15:49.801,"{""sensor"":{""time"":0,""status"":true,""accel"":[0.14,0.17,-8.10],""gyro"":[0.00,0.00,0.00],""ypr"":[-179.03,0.79,-26.61],""mag"":[0.36,0.17,0.06]}}"
2026-02-23T16:15:49.846,"{""sensor"":{""time"":0,""status"":true,""accel"":[0.12,0.15,-8.13],""gyro"":[0.00,0.00,0.00],""ypr"":[-179.01,0.78,-26.43],""mag"":[0.36,0.17,0.06]}}"
2026-02-23T16:15:49.898,"{""sensor"":{""time"":0,""status"":true,""accel"":[0.13,0.17,-8.12],""gyro"":[0.00,0.00,0.00],""ypr"":[-179.00,0.78,-26.20],""mag"":[0.36,0.15,0.04]}}"
2026-02-23T16:15:49.944,"{""sensor"":{""time"":0,""status"":true,""accel"":[0.16,0.18,-8.14],""gyro"":[0.00,0.00,0.00],""ypr"":[-178.99,0.77,-25.70],""mag"":[0.36,0.15,0.04]}}"
2026-02-23T16:15:49.996,"{""sensor"":{""time"":0,""status"":true,""accel"":[0.13,0.14,-8.12],""gyro"":[0.00,0.00,0.00],""ypr"":[-178.98,0.77,-25.27],""mag"":[0.35,0.15,0.07]}}"
2026-02-23T16:15:50.048,"{""sensor"":{""time"":0,""status"":true,""accel"":[0.13,0.16,-8.12],""gyro"":[0.00,0.00,0.00],""ypr"":[-178.98,0.77,-24.91],""mag"":[0.35,0.15,0.07]}}"
2026-02-23T16:15:50.101,"{""sensor"":{""time"":0,""status"":true,""accel"":[0.12,0.19,-8.10],""gyro"":[0.00,0.00,0.00],""ypr"":[-178.98,0.77,-24.62],""mag"":[0.36,0.17,0.09]}}"
2026-02-23T16:15:50.154,"{""sensor"":{""time"":0,""status"":true,""accel"":[0.12,0.13,-8.13],""gyro"":[0.00,0.00,0.00],""ypr"":[-178.99,0.78,-24.54],""mag"":[0.36,0.17,0.09]}}"
2026-02-23T16:15:50.214,"{""sensor"":{""time"":0,""status"":true,""accel"":[0.12,0.15,-8.10],""gyro"":[0.00,0.00,0.00],""ypr"":[-179.02,0.78,-24.57],""mag"":[0.37,0.18,0.04]}}"
2026-02-23T16:15:50.258,"{""sensor"":{""time"":1,""status"":true,""accel"":[0.13,0.17,-8.15],""gyro"":[0.00,0.00,0.00],""ypr"":[-179.04,0.79,-24.68],""mag"":[0.37,0.18,0.04]}}"
2026-02-23T16:15:50.310,"{""sensor"":{""time"":1,""status"":true,""accel"":[0.12,0.15,-8.12],""gyro"":[0.00,0.00,0.00],""ypr"":[-179.05,0.79,-24.89],""mag"":[0.36,0.18,0.06]}}"
2026-02-23T16:15:50.357,"{""sensor"":{""time"":1,""status"":true,""accel"":[0.10,0.14,-8.10],""gyro"":[0.00,0.00,0.00],""ypr"":[-179.07,0.80,-25.09],""mag"":[0.35,0.20,0.10]}}"
